Date,Close/Last,Volume,Open,High,Low
07/29/2021,21.77,14397,21.54,21.9299,21.54
07/28/2021,21.4213,23672,21.31,21.5,21.31
07/27/2021,21.24,9488,21.29,21.4399,21.13
07/26/2021,21.37,25222,21.08,21.4088,21.08
07/23/2021,21.37,20347,21.12,21.38,21.12
07/22/2021,21.25,23756,21.01,21.265,20.8112
07/21/2021,20.81,30150,20.36,20.85,20.36
07/20/2021,19.96,22206,19.65,20.0612,19.4
07/19/2021,19.81,127813,20.49,20.55,19.6
07/16/2021,21.13,32070,21.24,21.3266,20.87
07/15/2021,21.13,49326,21.23,21.44,21.129
07/14/2021,21.4082,42903,22.03,22.03,21.2
07/13/2021,22.07,22821,21.69,22.0999,21.59
07/12/2021,21.665,25848,21.55,21.68,21.31
07/09/2021,21.71,59574,21.43,21.78,21.43
07/08/2021,21.28,37722,20.94,21.3381,20.8001
07/07/2021,20.9689,35427,21.49,21.5201,20.75
07/06/2021,21.44,63128,21.84,21.84,21.2477
07/02/2021,21.97,28310,21.84,21.99,21.68
07/01/2021,21.81,31716,21.96,22.06,21.7001
06/30/2021,21.54,15637,21.6,21.73,21.41
06/29/2021,21.57,132992,21.49,21.59,21.41
06/28/2021,21.37,24934,21.7,21.7,21.327
06/25/2021,21.69,33011,21.66,21.72,21.37
06/24/2021,21.54,38662,21.45,21.55,21.2601
06/23/2021,21.452,259284,21.62,21.66,21.4
06/22/2021,21.335,38333,21.27,21.37,21.23
06/21/2021,21.27,50002,20.9,21.3,20.9
06/18/2021,20.9,46063,20.6,20.9899,20.6
06/17/2021,20.72,63245,21.17,21.17,20.41
06/16/2021,21.11,80097,21.15,21.388,21
06/15/2021,21.21,62691,21.04,21.239,21.04
06/14/2021,20.88,34278,20.98,21.04,20.8201
06/11/2021,20.81,13584,20.72,20.89,20.72
06/10/2021,20.79,34946,20.85,20.87,20.29
06/09/2021,20.58,39838,20.84,20.849,20.531
06/08/2021,20.75,29627,20.45,20.78,20.27
06/07/2021,20.45,21101,20.53,20.619,20.42
06/04/2021,20.5,33306,20.62,20.62,20.4
06/03/2021,20.32,17809,20.38,20.4399,20.175
06/02/2021,20.3,38691,20.24,20.37,20.138
06/01/2021,20.11,18970,20.21,20.32,19.94
05/28/2021,19.7,8772,19.8,19.8,19.56
05/27/2021,19.73,11081,19.47,19.77,19.47
05/26/2021,19.56,10253,19.29,19.59,19.29
05/25/2021,19.42,5901,19.54,19.54,19.42
05/24/2021,19.52,27443,19.22,19.5591,19.14
05/21/2021,18.8915,11819,18.8,18.959,18.79
05/20/2021,18.4314,36669,18.7,18.75,18.2801
05/19/2021,18.79,25078,18.9,18.9,18.36
05/18/2021,19.4754,9916,19.58,19.6221,19.2
05/17/2021,19.6414,19468,19.51,19.67,19.41
05/14/2021,19.356,25731,19.16,19.38,19.16
05/13/2021,18.9841,57352,18.99,19.29,18.77
05/12/2021,19.575,58066,19.56,19.819,19.55
05/11/2021,19.49,61585,19.09,19.49,19.081
05/10/2021,19.3,47977,19.47,19.47,19.01
05/07/2021,19.23,18457,19.01,19.3299,19
05/06/2021,19.249,16073,19.45,19.45,19.12
05/05/2021,19.34,14866,19.6,19.69,19.23
05/04/2021,19.42,37666,19.29,19.43,19.12
05/03/2021,19,13159,18.76,19.039,18.76
04/30/2021,18.72,17984,18.8,18.8,18.59
04/29/2021,19.12,17470,19.13,19.2399,18.9101
04/28/2021,18.84,23017,18.81,18.98,18.74
04/27/2021,18.61,8404,18.48,18.63,18.3966
04/26/2021,18.31,8548,18.13,18.3644,18.09
04/23/2021,18.3587,5723,18.429,18.429,18.25
04/22/2021,18.16,4518,18.2,18.23,18.0078
04/21/2021,18.03,14527,18.12,18.31,18.03
04/20/2021,18.42,12244,18.69,18.732,18.19
04/19/2021,18.69,6478,18.62,18.7,18.62
04/16/2021,18.63,5234,18.67,18.675,18.58
04/15/2021,18.69,8283,18.62,18.7499,18.62
04/14/2021,18.62,31329,18.19,18.7499,18.19
04/13/2021,17.95,13183,17.95,17.97,17.8405
04/12/2021,17.73,24743,17.85,17.956,17.65
04/09/2021,17.5853,11551,17.53,17.625,17.53
04/08/2021,17.67,8854,17.61,17.67,17.52
04/07/2021,17.674,9943,17.6,17.73,17.33
04/06/2021,17.67,35367,17.805,17.988,17.58
04/05/2021,17.43,49299,17.81,17.81,17.145
04/01/2021,18.11,47181,17.87,18.18,17.54
03/31/2021,17.52,32436,17.68,17.945,17.415
03/30/2021,17.7385,7326,17.74,17.93,17.6869
03/29/2021,18.09,16751,17.85,18.0999,17.681
03/26/2021,17.91,50618,17.94,18.02,17.811
